listing.id,listing.user.id,listing.is_superhost,listing.city,listing.name,listing.property_type_id,listing.room_and_property_type,listing.space_type,listing.avg_rating,listing.reviews_count,listing.picture_count,listing.bathrooms,listing.bedrooms,listing.beds,listing.person_capacity,listing.cancel_policy,listing.is_new_listing,listing.lat,listing.lng,listing.max_nights,listing.min_nights,pricing_quote.can_instant_book,pricing_quote.monthly_price_factor,pricing_quote.rate.amount,pricing_quote.weekly_price_factor
29023478,218738482,False,Midland,1 spacious bedroom w/walk-in closet in Nice area,2,Private room in house,Private room,5.0,3,1,0.0,1,0.0,1,CANCEL_FLEXIBLE,False,32.01526,-102.13084,120,1,True,0.51,100.0,0.79
43299131,41916063,True,Midland,3 bedroom Sunshine place,1,Entire apartment,Entire apartment,,0,11,2.0,3,3.0,6,CANCEL_FLEXIBLE,True,32.05162,-102.13212,30,3,True,1.0,135.0,1.0
39273635,115064741,False,Midland,New RV's - Guest Services & Pre-Approved Dogs,32,Camper/RV,Camper/RV,5.0,5,12,1.0,1,1.0,2,CANCEL_MODERATE,False,31.96919,-101.99555,365,2,True,0.85,85.0,0.93
33901436,41916063,True,Midland,North Midland 3 bedroom,1,Entire apartment,Entire apartment,,0,21,2.0,3,3.0,6,CANCEL_STRICT_14_WITH_GRACE_PERIOD,False,32.0678,-102.09364,30,3,True,1.0,180.0,1.0
35121605,76040234,False,Midland,Legends Park Area,2,Private room in house,Private room,,0,11,1.0,1,1.0,1,CANCEL_FLEXIBLE,False,31.98388,-102.1583,5,1,True,1.0,100.0,1.0
26813274,28980408,True,Midland,Near stadium w/ amenities for business travelers!,2,Entire house,Entire house,4.8,10,16,2.0,4,4.0,12,CANCEL_MODERATE,False,32.01155,-102.13114,1125,1,False,1.0,245.0,0.9
35565996,265007928,False,Midland,Corral In legends,2,Private room in house,Private room,,0,11,1.0,1,1.0,1,CANCEL_FLEXIBLE,False,31.98371,-102.15665,5,1,True,1.0,125.0,1.0
34533331,252229194,False,Midland,Midlands finest Pet Friendly Home,2,Entire house,Entire house,,1,38,1.0,3,3.0,4,CANCEL_MODERATE,False,31.98511,-102.12778,30,2,True,0.86,145.0,0.86
42670639,266063094,False,Midland,Free Breakfast. Pool & Hot Tub. Close to the new Chevron and Oxy campuses!,37,Entire condominium,Entire condominium,,0,18,1.0,2,3.0,6,CANCEL_MODERATE,False,31.99326,-102.16031,14,2,True,1.0,224.0,1.0
37627729,143346325,False,Midland,Bedroom 1 (shared house),2,Private room in house,Private room,,2,9,1.0,1,1.0,2,CANCEL_FLEXIBLE,False,31.9833,-102.07336,1125,2,True,0.75,48.0,0.88
29104247,202596170,False,Midland,Quiet comfort in Midland,2,Private room in house,Private room,5.0,3,5,1.0,1,1.0,1,CANCEL_FLEXIBLE,False,32.03373,-102.15398,1125,1,True,1.0,100.0,1.0
20171800,123415934,False,Midland,White Room,2,Private room in house,Private room,5.0,9,9,1.5,1,1.0,1,CANCEL_FLEXIBLE,False,32.02791,-102.12872,1125,1,True,1.0,110.0,1.0
38479876,276102447,False,Midland,AFFORDABLE in Midland!,32,Camper/RV,Camper/RV,3.75,4,1,1.0,2,4.0,4,CANCEL_STRICT_14_WITH_GRACE_PERIOD,False,31.92146,-101.91667,1125,1,True,0.8,60.0,0.9
37184242,143346325,False,Midland,Bedroom 2 (shared full bathroom with other guest),2,Private room in house,Private room,,1,10,1.0,1,1.0,2,CANCEL_STRICT_14_WITH_GRACE_PERIOD,False,31.98164,-102.07354,1125,2,True,0.74,48.0,0.88
42670666,266063094,False,Midland,Free Breakfast. Pool & Hot Tub. Quick Drive to the new Chevron and Oxy campuses! Great for Business Travelers!,37,Entire condominium,Entire condominium,,0,18,2.0,2,3.0,6,CANCEL_MODERATE,False,31.9939,-102.16135,14,2,True,1.0,219.0,1.0
39443641,302762155,False,Midland,Newly Renovated Midland Getaway,1,Entire apartment,Entire apartment,4.25,4,19,1.0,1,2.0,3,CANCEL_FLEXIBLE,False,32.03451,-102.13488,90,1,True,0.8,55.0,0.9
42092287,94803899,False,Midland,Cozy Relaxing Place #3,2,Private room in house,Private room,,0,1,0.0,1,3.0,1,CANCEL_FLEXIBLE,False,32.02336,-102.07688,1125,1,False,0.51,45.0,0.79
39859870,41916063,True,Midland,Quiet 2 bedroom,1,Entire apartment,Entire apartment,,1,4,2.0,2,2.0,4,CANCEL_FLEXIBLE,False,32.0512,-102.13154,10,2,True,1.0,120.0,1.0
35875877,207888136,False,Midland,Nice 3 bedroom 2 car garage sleeps 6!!,2,Entire house,Entire house,3.33,3,16,2.0,3,5.0,6,CANCEL_FLEXIBLE,False,31.98528,-102.13941,1125,1,True,1.0,150.0,1.0
